quote,philosopher,source
Otherwise than Heideggerian being; beyond Heideggerian essence.,levinas,Otherwise Than Being — Emmanuel Levinas
"Levinas is perhaps the one philosopher who has seen farthest, all the way through and beyond Heideggerian Denken.",levinas,Otherwise Than Being — Emmanuel Levinas
The dispute is over the heritage of Husserlian phenomenology.,levinas,Otherwise Than Being — Emmanuel Levinas
"Whereas Heidegger, in Being and Time, was led to surpass phenomenology in ontology by renewing ""the question of being,"" Levinas, in Totality and Infinity, also surpasses phenomenology, but through the sober exigencies of an ethical metaphysics.",levinas,Otherwise Than Being — Emmanuel Levinas
Edmund Husserl — teacher of both Heidegger and Levinas — had pushed science to new and genuine limits.,levinas,Otherwise Than Being — Emmanuel Levinas
"He had convincingly shown that modern mathematical science would have to expand to return to its original telos: to be a fully justified, verifiable, self-correcting account of the whole.",levinas,Otherwise Than Being — Emmanuel Levinas
"Science could no longer reduce and presuppose but would have to expose all evidences, including the evidences of consciousness taken on their own terms.",levinas,Otherwise Than Being — Emmanuel Levinas
"Levinas is quite influenced by this work, transforming and integrating its analyses into his own ethical vision.",levinas,Otherwise Than Being — Emmanuel Levinas
"Both philosophers inaugurated their radically differing perspectives through careful analyses of time and sensibility: mortal and anxious being in Heidegger, moral and subject responsibility in Levinas.",levinas,Otherwise Than Being — Emmanuel Levinas
"The phenomenological analyses of part two of Totality and Infinity revealed a more originary layer of sense in sensibility, beginning in the ""carefree"" contentment of sensing, its self-satisfaction and enjoyment of elemental sensations.",levinas,Otherwise Than Being — Emmanuel Levinas
"The independence of subjectivity would thus lie more deeply embedded in sensibility than the synthesizing temporal ecstasies of praxis, worldliness, or anxiety.",levinas,Otherwise Than Being — Emmanuel Levinas
"Rather, the circuits of subjectivity would begin in the very sensing of sensations.",levinas,Otherwise Than Being — Emmanuel Levinas
"But this also meant that the transcendence of the other would be felt more deeply, in the deepest recesses the flesh, as a suffering for the other, a suffering for the suffering of the other.",levinas,Otherwise Than Being — Emmanuel Levinas
These intertwined structures of sensibility and ethics undercut the meaning bestowing acts foundational to Husserlian intentionally as well as the freedom Heidegger discovered in the essence of truth.,levinas,Otherwise Than Being — Emmanuel Levinas
"Ethical exorbitance —the height of the other, the subjection of the self, diachrony deeper than synthesis, otherwise than being, beyond essence — accounts for the peculiar structure of Levinas's writings.",levinas,Otherwise Than Being — Emmanuel Levinas
"In Totality and Infinity ethics appears both before (part one) and after (part three) a phenomenological account of sensibility as ""separated"" being (part two).",levinas,Otherwise Than Being — Emmanuel Levinas
"Morality and justice appear before because ethical priorities take priority over the a priori syntheses — cognitive or ontological — immanent to sensibility, praxis, knowledge, and history.",levinas,Otherwise Than Being — Emmanuel Levinas
"Chapter one, ""The Argument,"" like part one of Totality and Infinity, is a beginning prior to origins.",levinas,Otherwise Than Being — Emmanuel Levinas
"The demands of goodness do not wait for the completion of knowledge, though the demand for justice will motivate precisely that quantitative task.",levinas,Otherwise Than Being — Emmanuel Levinas
"Chapters two through five, ""The Exposition,"" renew Levinas's earlier investigations into sensibility, but now building on the whole of Totality and Infinity, elucidating in terms of sensibility itself the obsessive trauma of moral exigencies.",levinas,Otherwise Than Being — Emmanuel Levinas
"The final pages, ""In Other Words,"" like the ""Conclusions"" of Totality and Infinity, are neither final nor conclusions; they are reformulations, renewals, a re-saying of the saying of the said — infinite, as ethics.",levinas,Otherwise Than Being — Emmanuel Levinas
"Before language is a poetic harken-ing, it is a radical ethical sincerity: saying as ""my exposure without reserve to the other"" (168), inspiration, witness, prophecy, risk, glory —""proximity and not truth about proximity"" (120).",levinas,Otherwise Than Being — Emmanuel Levinas
"An edifying case: Heidegger's celebrated disciple in France, Jacques Derrida, staked out his own career by borrowing Levinas's notion of the trace of diachrony, an ethical structure.",levinas,Otherwise Than Being — Emmanuel Levinas
"He nonetheless purported to bend it for Heideggerian purposes, forcing its radical alterity and an-archy to serve the end of metaphysics, deconstructed through the questioning of language, the language of questioning, differance.",levinas,Otherwise Than Being — Emmanuel Levinas
"Is it any wonder, then, or rather an irony, that Derrida has become — despite himself? — a ""Levinasian,"" not only paying homage to Levinas, but teaching the very ethical teachings of his teacher?",levinas,Otherwise Than Being — Emmanuel Levinas
"Levinas has always ""argued"" that relationship with God can only ""come to the idea"" — enter a universal discourse — through ethics.",levinas,Otherwise Than Being — Emmanuel Levinas
"Levinas is sensitive to the moral and juridical imperfections of our world, such that even an infinite moral response to the one who faces produces injustice for those others not present.",levinas,Otherwise Than Being — Emmanuel Levinas
"To give all to one, is to leave others destitute.",levinas,Otherwise Than Being — Emmanuel Levinas
In Otherwise than Being Levinas discovers those absent faces troubling the moral self in the very face of the other.,levinas,Otherwise Than Being — Emmanuel Levinas
"Morality, without justice, produces injustice, hence immorality.",levinas,Otherwise Than Being — Emmanuel Levinas
"Justice rectifies in the name of goodness the exclusivity of a self infinitely beholden to the other, rectifies the very desire for goodness.",levinas,Otherwise Than Being — Emmanuel Levinas
"Justice detached from morality, indifferent to its own moral motivation, produces tyranny instead.",levinas,Otherwise Than Being — Emmanuel Levinas
Yet such a rectification cannot be accounted for in the first person singular.,levinas,Otherwise Than Being — Emmanuel Levinas
The I is infinitely subject to the other.,levinas,Otherwise Than Being — Emmanuel Levinas
"We have not ventured to write essance as would be required by the history of the language, where the suffix -ance, deriving from -antia or -entia, gave birth to abstract nouns of action.",levinas,Otherwise Than Being — Emmanuel Levinas
We shall carefully avoid using the term essence or its derivates in their traditional usage.,levinas,Otherwise Than Being — Emmanuel Levinas
"For essence, essential, essentially, we will say eidos, eidetic, eidetically, or nature, quiddity, fundamental, etc.",levinas,Otherwise Than Being — Emmanuel Levinas
Several extracts from the present work have been published in journals.,levinas,Otherwise Than Being — Emmanuel Levinas
"Built around Chapter IV, which is its centerpiece, its first version preceded the published texts.",levinas,Otherwise Than Being — Emmanuel Levinas
"They were detached from the whole, and were finished in such a way to make them relatively autonomous.",levinas,Otherwise Than Being — Emmanuel Levinas
"The notion cannot claim to be original, but the access to it is as steep as in ancient times.",levinas,Otherwise Than Being — Emmanuel Levinas
"The difficulties of the climb, as well as its failures and renewed attempts, are marked in the writing, which no doubt also shows the breathlessness of the author.",levinas,Otherwise Than Being — Emmanuel Levinas
But to hear a God not contaminated by Being is a human possibility no less important and no less precarious than to bring Being out of the oblivion in which it is said to have fallen in metaphysics and in onto-theology.,levinas,Otherwise Than Being — Emmanuel Levinas
"THE ARGUMENT CHAPTER IESSENCE AND DISINTEREST There is something to be said, Novalis wrote, in favor of passivity.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is significant that one of Novalis' contemporaries, Maine de Brain, who wished to be the philosopher of activity, will remain essentially the philosopher of two passivities, the lower and the higher.",levinas,Otherwise Than Being — Emmanuel Levinas
"BEING'S ""OTHER"" If transcendence has meaning, it can only signify the fact that the event of being, the esse, the essence,1 passes over to what is other than being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Among the five ""genera"" of the Sophist a genus opposed to being is lacking, even though since the Republic there had been question of what is beyond essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"And what can the fact of passing over mean here, where the passing over, ending at being's other, can only undo its facticity during such a passage?",levinas,Otherwise Than Being — Emmanuel Levinas
"Transcendence is passing over to being's other, otherwise than being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Not to be otherwise, but otherwise than being.",levinas,Otherwise Than Being — Emmanuel Levinas
And not to not-be; passing over is not here equivalent to dying.,levinas,Otherwise Than Being — Emmanuel Levinas
"Being and not-being illuminate one another, and unfold a speculative dialectic which is a determination of being.",levinas,Otherwise Than Being — Emmanuel Levinas
Or else the negativity which attempts to repel being is immediately submerged by being.,levinas,Otherwise Than Being — Emmanuel Levinas
"The void that hollows out is immediately filled with the mute and anonymous rustling of the there is,2 as the place left vacant by one who died is filled with the murmur of the attendants.",levinas,Otherwise Than Being — Emmanuel Levinas
Being's essence dominates not-being itself.,levinas,Otherwise Than Being — Emmanuel Levinas
"My death is insignificant - unless I drag into my death the totality of being, as Macbeth wished, at the hour of his last combat.",levinas,Otherwise Than Being — Emmanuel Levinas
"The statement of being's other, of the otherwise than being, claims to state a difference over and beyond that which separates being from nothingness - the very difference of the beyond, the difference of transcendence.",levinas,Otherwise Than Being — Emmanuel Levinas
"4 But one immediately wonders if in the formula ""otherwise than being"" the adverb ""otherwise"" does not inevitably refer to the verb to be, which simply has been avoided by an artificially elliptical turn of phrase.",levinas,Otherwise Than Being — Emmanuel Levinas
"Then what is signified by the verb to be would be ineluctable in everything said, thought and felt.",levinas,Otherwise Than Being — Emmanuel Levinas
"Our languages woven about the verb to be would not only reflect this undethronable royalty, stronger than that of the gods; they would be the very purple of this royalty.",levinas,Otherwise Than Being — Emmanuel Levinas
"But then no transcendence other than the factitious transcendence of worlds behind the scenes, of the Heavenly City gravitating in the skies over the terrestrial city, would have meaning.",levinas,Otherwise Than Being — Emmanuel Levinas
"The Being of beings and of worlds, however different among themselves they may be, weaves among incomparables a common fate; it puts them in conjunction, even if the unity of Being that assembles them is but an analogical unity.",levinas,Otherwise Than Being — Emmanuel Levinas
Every attempt to disjoin the conjunction and the conjuncture but emphasizes them.,levinas,Otherwise Than Being — Emmanuel Levinas
The there is fills the void left by the negation of Being. 2.,levinas,Otherwise Than Being — Emmanuel Levinas
"BEING AND INTEREST The essence thus works as an invincible persistance in essence, filling up every interval of nothingness which would interrupt its exercise.",levinas,Otherwise Than Being — Emmanuel Levinas
"This being interested does not appear only to the mind surprised by the relativity of its negation, and to the man resigned to the meaninglessness of his death; it is not reducible to just this refutation of negativity.",levinas,Otherwise Than Being — Emmanuel Levinas
It is confirmed positively to be the conatus of beings.,levinas,Otherwise Than Being — Emmanuel Levinas
And what else can positivity mean but this conatus?,levinas,Otherwise Than Being — Emmanuel Levinas
"Being's interest takes dramatic form in egoisms struggling with one another, each against all, in the multiplicity of allergic egoisms which are at war with one another and are thus together.",levinas,Otherwise Than Being — Emmanuel Levinas
War is the deed or the drama of the essence's interest.,levinas,Otherwise Than Being — Emmanuel Levinas
"They all clash, despite the difference of the regions to which the terms in conflict may belong.",levinas,Otherwise Than Being — Emmanuel Levinas
Essence thus is the extreme synchronism of war.,levinas,Otherwise Than Being — Emmanuel Levinas
"Determination is formed, and is already undone, by the clash.",levinas,Otherwise Than Being — Emmanuel Levinas
It takes form and breaks up in a swarming.,levinas,Otherwise Than Being — Emmanuel Levinas
"Here is extreme contemporaneousness, or immanence.",levinas,Otherwise Than Being — Emmanuel Levinas
"Does not essence revert into its other by peace, in which reason, which suspends the immediate clash of beings, reigns?",levinas,Otherwise Than Being — Emmanuel Levinas
"Beings become patient, and renounce the allergic intolerance of their persistence in being; do they not then dramatize the otherwise than being?",levinas,Otherwise Than Being — Emmanuel Levinas
"But this rational peace, a patience and length of time, is calculation, mediation and politics.",levinas,Otherwise Than Being — Emmanuel Levinas
The struggle of each against all becomes exchange and commerce.,levinas,Otherwise Than Being — Emmanuel Levinas
"The clash of each against all in which each comes to be with all, becomes reciprocal limitation and determination, like that of matter.",levinas,Otherwise Than Being — Emmanuel Levinas
"But the persisting in 5 being, interest, is maintained by the future compensation which will have to equilibriate the concessions patiently and politically consented to in the immediate.",levinas,Otherwise Than Being — Emmanuel Levinas
The mass remains permanent and interest remains.,levinas,Otherwise Than Being — Emmanuel Levinas
Transcendence is factitious and peace unstable.,levinas,Otherwise Than Being — Emmanuel Levinas
"And ask if this breathiessness or holding back is not the extreme possibility of the Spirit, bearing a sense of what is beyond the essence? 3.",levinas,Otherwise Than Being — Emmanuel Levinas
"THE SAID AND THE SAYING Is not the inescapable fate in which being immediately includes the statement of being's other not due to the hold the said has over the saying, to the oracle in which the said is immobilized?",levinas,Otherwise Than Being — Emmanuel Levinas
"It is not that the essence qua persistance in essence, qua conatus and interest, would be reducible to a word-play.",levinas,Otherwise Than Being — Emmanuel Levinas
It sets forth an order more grave than being and antecedent to being.,levinas,Otherwise Than Being — Emmanuel Levinas
By comparison being appears like a game.,levinas,Otherwise Than Being — Emmanuel Levinas
"Right off a stakes, money or honor, is attached to it.",levinas,Otherwise Than Being — Emmanuel Levinas
"Does not disinterestedness, without compensation, without eternal life, without the pleasingness of happiness, complete gratuity, indicate an extreme gravity and not the fallacious frivolity of play?",levinas,Otherwise Than Being — Emmanuel Levinas
"But this pre-original saying does move into a language, in which saying and said are correlative of one another, and the saying is subordinated to its theme.",levinas,Otherwise Than Being — Emmanuel Levinas
"It can be shown that even the distinction between Being and entities is borne by the amphibology of the said, though this distinction and this amphibology are not thereby reducible to verbal artifices.",levinas,Otherwise Than Being — Emmanuel Levinas
"The correlation of the saying and the said, that is, the subordination of the saying to the said, to the linguistic system and to ontology, is the price that manifestation demands.",levinas,Otherwise Than Being — Emmanuel Levinas
"In language qua said everything is conveyed before us, be it at the price of a betrayal.' Language is ancillary and thus indispensable.",levinas,Otherwise Than Being — Emmanuel Levinas
"Language permits us to utter, be it by betrayal, this outside of being, this ex-ception to being, as though being's other were an event of being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Being, its cognition and the said in which it shows itself signify in a saying which, relative to being, forms an exception; but it is in the said that both this exception and the birth of cognition [la naissance de la connaissance] show themselves.",levinas,Otherwise Than Being — Emmanuel Levinas
"But the fact that the ex-ception shows itself and becomes truth in the said can not serve as a pretext to take as an absolute the apophantic variant of the saying, which is ancillary or angelic.",levinas,Otherwise Than Being — Emmanuel Levinas
"An ancillary or angelic variant, however sublime it be, the apophantic form of the saying is only mediating.",levinas,Otherwise Than Being — Emmanuel Levinas
"For thematization, in which being's essence is conveyed before us, and theory and thought, its contemporaries, do not attest to some fall of the saying.",levinas,Otherwise Than Being — Emmanuel Levinas
"They are motivated by the pre-original vocation of the saying, by responsibility itself.",levinas,Otherwise Than Being — Emmanuel Levinas
We will see more of this further.4 But apophansis does not exhaust what there is in saying.,levinas,Otherwise Than Being — Emmanuel Levinas
"The apophansis presupposes the language that answers with responsibility, and the gravity of this response is beyond the measure of being.",levinas,Otherwise Than Being — Emmanuel Levinas
The impossibility of declining responsibility is reflected only in the scruple or remorse which pre7 cedes or follows this refusal.,levinas,Otherwise Than Being — Emmanuel Levinas
The reality of the real ignores scruples.,levinas,Otherwise Than Being — Emmanuel Levinas
"But, though naturally superficial, essence does not exclude the retreats of responsibility in the way that being excludes nothingness.",levinas,Otherwise Than Being — Emmanuel Levinas
"And the gravity of the responsible saying retains a reference to being, whose nature will have to be made clear.",levinas,Otherwise Than Being — Emmanuel Levinas
"Moral impossibility is not of lesser gravity; it does not situate responsibility in some low tension zone, at the confines of being and non-being.",levinas,Otherwise Than Being — Emmanuel Levinas
"This gravity of the otherwise than being shows now, in a still confused way, its affinity with ethics.",levinas,Otherwise Than Being — Emmanuel Levinas
"We have been seeking the otherwise than being from the beginning, and as soon as it is conveyed before us it is betrayed in the said that dominates the saying which states it.",levinas,Otherwise Than Being — Emmanuel Levinas
"Everything shows itself at the price of this betrayal, even the unsayable.",levinas,Otherwise Than Being — Emmanuel Levinas
"In this betrayal the indiscretion with regard to the unsayable, which is probably the very task of philosophy, becomes possible.",levinas,Otherwise Than Being — Emmanuel Levinas
"When stated in propositions, the unsayable (or the an-archical) espouses the forms of formal logic;5 the beyond being is posited in doxic theses, and glimmers in the amphibology of being and beings -in which beings dissimulate being.",levinas,Otherwise Than Being — Emmanuel Levinas
The otherwise than being is stated in a saying that must also be unsaid in order to thus extract the otherwise than being from the said in which it already comes to signify but a being otherwise.,levinas,Otherwise Than Being — Emmanuel Levinas
"Does the beyond being which philosophy states, and states by reason of the very transcendence of the beyond, fall unavoidably into the forms of the ancillary statement?",levinas,Otherwise Than Being — Emmanuel Levinas
"Can this saying and this being unsaid be assembled, can they be at the same time?",levinas,Otherwise Than Being — Emmanuel Levinas
In fact to require this simultaneity is already to reduce being's other to being and not being.,levinas,Otherwise Than Being — Emmanuel Levinas
We must stay with the extreme situation of a diachronic thought.,levinas,Otherwise Than Being — Emmanuel Levinas
"Skepticism, at the dawn of philosophy, set forth and betrayed the diachrony of this very conveying and betraying.",levinas,Otherwise Than Being — Emmanuel Levinas
"Freedom, an interruption of the determinism of war and matter, does not escape the fate in essence and takes place in time and in the history which assembles events into an epos and synchronizes them, revealing their immanence and their order.",levinas,Otherwise Than Being — Emmanuel Levinas
The task is to conceive'' of the possibility of a break out of essence.,levinas,Otherwise Than Being — Emmanuel Levinas
"But the extraction from essence contests the unconditional privilege of the question ""where?""; it signifies a null-site [non-lieu].",levinas,Otherwise Than Being — Emmanuel Levinas
"The ego is an incomparable unicity; it is outside of the community of genus and form, and does not find any rest in itself either, unquiet, not coinciding with itself.",levinas,Otherwise Than Being — Emmanuel Levinas
"The history of philosophy, during some flashes, has known this subjectivity that, as in an extreme youth, breaks with essence.",levinas,Otherwise Than Being — Emmanuel Levinas
The Nietzschean man above all was such a moment.,levinas,Otherwise Than Being — Emmanuel Levinas
"For Husserl's transcendental reduction will a putting between parentheses suffice-a type of writing, of commiting oneself with the world, which sticks like ink to the hands that push it off?",levinas,Otherwise Than Being — Emmanuel Levinas
"One should have to go all the way to the nihilism of Nietzsche's poetic writing, reversing irreversible time in vortices, to the laughter which refuses language.",levinas,Otherwise Than Being — Emmanuel Levinas
"9 The philosopher finds language again in the abuses of language of the history of philosophy, in which the unsayable and what is beyond being are conveyed before us.",levinas,Otherwise Than Being — Emmanuel Levinas
"But negativity, still correlative with being, will not be enough to signify the other than being. 5.",levinas,Otherwise Than Being — Emmanuel Levinas
"RESPONSIBILITY FOR THE OTHER But how, at the still temporal breaking point where being comes to pass, would being and time fall into ruins so as to disengage subjectivity from its essence?",levinas,Otherwise Than Being — Emmanuel Levinas
Do not the falling into ruins and the disengagement last; do they not occur in being?,levinas,Otherwise Than Being — Emmanuel Levinas
The otherwise than being cannot be situated in any eternal order extracted from time that would somehow command the temporal series.,levinas,Otherwise Than Being — Emmanuel Levinas
Kant has shown the impossibility of that in the antithesis of the fourth Antinomy.,levinas,Otherwise Than Being — Emmanuel Levinas
"It is then the temporalization of time, in the way it signifies being and nothingness, life and death, that must also signify the beyond being and not being; it must signify a difference with respect to the couple being and nothingness.",levinas,Otherwise Than Being — Emmanuel Levinas
Time is essence and monstration of essence.,levinas,Otherwise Than Being — Emmanuel Levinas
"In the temporalization of time the light comes about by the instant falling out of phase with itself-which is the temporal flow, the differing of the identical.",levinas,Otherwise Than Being — Emmanuel Levinas
The differing of the identical is also its manifestation.,levinas,Otherwise Than Being — Emmanuel Levinas
"But time is also a recuperation of all divergencies, through retention, memory and history.",levinas,Otherwise Than Being — Emmanuel Levinas
"Can it, on the contrary, remain foreign to every present, every representation, and thus signify a past more ancient than every representable origin, a pre-original and anarchical passed!",levinas,Otherwise Than Being — Emmanuel Levinas
The signalling of this pre-original past in the present would not again be an ontological relation.,levinas,Otherwise Than Being — Emmanuel Levinas
"But if time is to show an ambiguity of being and the otherwise than being, its temporalization is to be conceived not as essence, but as saying.",levinas,Otherwise Than Being — Emmanuel Levinas
This equivocation or enigma is an inalienable power in saying and a modality of transcendence.7 Subjectivity is a node and a denouement - of essence and essence's other.,levinas,Otherwise Than Being — Emmanuel Levinas
"But how is the saying, in its primordial enigma, said?",levinas,Otherwise Than Being — Emmanuel Levinas
"How is time tem-poralized such that the dia-chrony of transcendence, of the other than being, is signalled?",levinas,Otherwise Than Being — Emmanuel Levinas
How can transcendence withdraw from esse while being signalled in it?,levinas,Otherwise Than Being — Emmanuel Levinas
"A linear regressive movement, a retrospective back along the temporal series toward a very remote past, would never be able to reach the absolutely diachronous pre-original which cannot be recuperated by memory and history.",levinas,Otherwise Than Being — Emmanuel Levinas
But it may be that we have to unravel other intrigues of time than that of the simple succession of presents.,levinas,Otherwise Than Being — Emmanuel Levinas
Men have been able to be thankful for the very fact of finding themselves able to thank; the present gratitude is grafted onto itself as onto an already antecedent gratitude.,levinas,Otherwise Than Being — Emmanuel Levinas
"In a prayer in which the worshipper asks that his prayer be heard, the prayer as it were precedes or follows itself.",levinas,Otherwise Than Being — Emmanuel Levinas
"The freedom of another could never begin in my freedom, that is, abide in the same present, be contemporary, be representable to me.",levinas,Otherwise Than Being — Emmanuel Levinas
"The responsibility for the other can not have begun in my commitment, in my decision.",levinas,Otherwise Than Being — Emmanuel Levinas
"The responsibility for the other is the locus in which is situated the null-site of subjectivity, where the privilege of the question ""Where?"" no longer holds.",levinas,Otherwise Than Being — Emmanuel Levinas
ESSENCE AND SIGNIFICATION But is not the relationship with this pre-original a recuperation?,levinas,Otherwise Than Being — Emmanuel Levinas
Not out of weakness; to what could not be contained there corresponds no capacity.,levinas,Otherwise Than Being — Emmanuel Levinas
"The non-present is in-comprehendable by reason of its immensity or its ""superlative"" humility or. for example, its goodness, which is the superlative itself.",levinas,Otherwise Than Being — Emmanuel Levinas
"The non-present here is invisible, separated (or sacred) and thus a non-origin, an-archical.",levinas,Otherwise Than Being — Emmanuel Levinas
The Good cannot become present or enter into a representation.,levinas,Otherwise Than Being — Emmanuel Levinas
"The present is a beginning in my freedom, whereas the Good is not presented to freedom; it has chosen me before I have chosen it.",levinas,Otherwise Than Being — Emmanuel Levinas
We can see the formal structure of nonfiee-dom in a subjectivity which does not have time to choose the Good and thus is penetrated with its rays unbeknownst to itself.,levinas,Otherwise Than Being — Emmanuel Levinas
"But subjectivity sees this nonfreedom redeemed, exceptionally, by the goodness of the Good.",levinas,Otherwise Than Being — Emmanuel Levinas
"And if no one is good voluntarily, no one is enslaved to the Good.8 Immemorial, unrepresentable, invisible, the past that bypasses the present, the pluperfect past, falls into a past that is a gratuitous lapse.",levinas,Otherwise Than Being — Emmanuel Levinas
"It can not be recuperated by reminiscence not because of its remoteness, but because of its incommensurability with the present.",levinas,Otherwise Than Being — Emmanuel Levinas
"The present is essence that begins and ends, beginning and end assembled in a thematizable conjunction; it is the finite in correlation with a freedom.",levinas,Otherwise Than Being — Emmanuel Levinas
"Diachrony.is the refusal of conjunction, the non-totaiizable, and in this sense, infinite.",levinas,Otherwise Than Being — Emmanuel Levinas
It thus diverges from nothingness as well as from being.,levinas,Otherwise Than Being — Emmanuel Levinas
"It provokes this responsibility against my will, that is, by substituting me for the other as a hostage.",levinas,Otherwise Than Being — Emmanuel Levinas
"All my inwardness is invested in the form of a despite-me, for-another.",levinas,Otherwise Than Being — Emmanuel Levinas
"Despite-me, for-another, is signification par excellence.",levinas,Otherwise Than Being — Emmanuel Levinas
"And it is the sense of the ""oneself,"" that accusative that derives from no nominative;9 it is the very fact of finding oneself while losing oneself.",levinas,Otherwise Than Being — Emmanuel Levinas
What is exceptional in this way of being signalled is that I am ordered toward the face of the other.,levinas,Otherwise Than Being — Emmanuel Levinas
In this order which is an ordination the non12 presence of the infinite is not only a figure of negative theology.,levinas,Otherwise Than Being — Emmanuel Levinas
"All the negative attributes which state what is beyond the essence become positive in responsibility, a response answering to a non-thematizable provocation and thus a non-vocation, a trauma.",levinas,Otherwise Than Being — Emmanuel Levinas
"That trace lights up as the face of a neighbor, ambiguously him before whom (or to whom, without any paternalism) and him for whom I answer.",levinas,Otherwise Than Being — Emmanuel Levinas
"What is positive in responsibility, outside of essence, conveys the infinite.",levinas,Otherwise Than Being — Emmanuel Levinas
"It inverses relationships and principles, reverses the order of interest: in the measure that responsibilities are taken on they multiply.",levinas,Otherwise Than Being — Emmanuel Levinas
This is not a Sollen commanding the infinite pursuit of an ideal.,levinas,Otherwise Than Being — Emmanuel Levinas
The infinity of the infinite lives in going backwards.,levinas,Otherwise Than Being — Emmanuel Levinas
The debt increases in the measures that it is paid.,levinas,Otherwise Than Being — Emmanuel Levinas
This divergency perhaps deserves the name glory.,levinas,Otherwise Than Being — Emmanuel Levinas
"The positivity of the infinite is the conversion of the response to the infinite into responsibility, into approach of the other.",levinas,Otherwise Than Being — Emmanuel Levinas
"The Infinite is non-thematizable, gloriously exceeds every capacity, and manifests, as it were in reverse, its exorbitance in the approach of a neighbor, obedient to its measure.",levinas,Otherwise Than Being — Emmanuel Levinas
"Subjectivity, prior to or beyond the free and the non-free, obliged with regard to the neighbor, is the breaking point where essence is exceeded by the infinite.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is the breaking-point, but also the binding place; the glow of a trace is enigmatic, equivocal.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is so in still another sense, which distinguishes it from the appearing of phenomena.",levinas,Otherwise Than Being — Emmanuel Levinas
"It cannot serve as the point of departure for a demonstration, which inexorably would bring it into immanence and essence.",levinas,Otherwise Than Being — Emmanuel Levinas
A trace is sketched out and effaced in a face in the equivocation of a saying.,levinas,Otherwise Than Being — Emmanuel Levinas
In this way it modulates the modality of the transcendent.I0 The infinite then cannot be tracked down like game by a hunter.,levinas,Otherwise Than Being — Emmanuel Levinas
The trace left by the infinite is not the residue of a presence; its very glow is ambiguous.,levinas,Otherwise Than Being — Emmanuel Levinas
"Otherwise, its positivity would not preserve the infinity of the infinite any more than negativity would.",levinas,Otherwise Than Being — Emmanuel Levinas
